"Населено място", "Търговски обект", "Наименование на продукта", "Код на продукта", "Категория", "Цена на дребно", "Цена в промоция"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "ТАЛЦИД табл 500мг /20бр", "3211", "86", "4.45", "4.45"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "СПАЗМАЛГОН табл /20бр", "2836", "87", "4.15", "4.15"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "БИЗАЛАКС филм табл 5мг /30бр", "1977", "88", "2.48", "2.48"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "ЛОПЕДИУМ капс 2мг /10бр", "8295", "89", "3.89", "3.89"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "НИЗОРАЛ шампоан 2% /100мл", "56617", "90", "14.67", "14.67"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "АЛЕРОЗАН крем 1% /18гр", "1853", "91", "4.66", "4.66"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "ЕТИЛОВ СПИРТ 70% /100мл ХИМАКС", "32258", "92", "0.65", "0.65"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "ТЕТАТОКС инж сусп 0.5мл /10бр", "54529", "93", "8.58", "8.58"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "КЕТОНАЛ капс 50мг /20бр", "708", "94", "6.56", "6.56"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "РЕПАРИЛ гел /40гр", "2755", "95", "6.22", "6.22"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "ОМАЛГИН табл 500мг /20бр", "59436", "96", "1.02", "1.02"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "МУКОНАЗАЛ ПЛЮС шпрей /10мл", "25166", "97", "7.13", "7.13"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "АНГАЛ ЛИМОН табл за смучене /24бр", "57807", "98", "7.23", "7.23"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "АЦЦ МЕД И ЛИМОН саше 600мг /10бр", "23210", "99", "6.95", "6.95"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "АЛЕРГОЗАН табл 25мг /20бр", "1852", "100", "3.89", "3.89"
"07702", "аптека Огафарм  - гр. Бяла Слатина ул. Хан Крум №73", "ОТИПАКС сол /16гр", "2626", "101", "4.17", "4.17"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "ТАЛЦИД табл 500мг /20бр", "3211", "86", "4.45", "4.45"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "СПАЗМАЛГОН табл /20бр", "2836", "87", "4.14", "4.14"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "БИЗАЛАКС филм табл 5мг /30бр", "1977", "88", "2.48", "2.48"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "ЛОПЕДИУМ капс 2мг /10бр", "8295", "89", "3.89", "3.89"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "НИЗОРАЛ шампоан 2% /100мл", "56617", "90", "14.67", "14.67"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "АЛЕРОЗАН крем 1% /18гр", "1853", "91", "4.66", "4.66"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "ЕТИЛОВ СПИРТ 70% /100мл ХИМАКС", "32258", "92", "0.65", "0.65"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "ТЕТАТОКС инж сусп 0.5мл /10бр", "54529", "93", "8.58", "8.58"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "КЕТОНАЛ капс 50мг /20бр", "708", "94", "6.56", "6.56"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "РЕПАРИЛ гел /40гр", "2755", "95", "6.22", "6.22"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "ОМАЛГИН табл 500мг /20бр", "59436", "96", "1.02", "1.02"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "МУКОНАЗАЛ ПЛЮС шпрей /10мл", "25166", "97", "7.13", "7.13"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "АНГАЛ ЛИМОН табл за смучене /24бр", "57807", "98", "7.23", "7.23"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "АЦЦ МЕД И ЛИМОН саше 600мг /10бр", "23210", "99", "6.95", "6.95"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "АЛЕРГОЗАН табл 25мг /20бр", "1852", "100", "3.88", "3.88"
"37376", "аптека Огафарм  - гр. Кнежа ул. Стефан Цанов №1В", "ОТИПАКС сол /16гр", "2626", "101", "4.17", "4.17"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "ТАЛЦИД табл 500мг /20бр", "3211", "86", "4.45", "4.45"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "СПАЗМАЛГОН табл /20бр", "2836", "87", "4.15", "4.15"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "БИЗАЛАКС филм табл 5мг /30бр", "1977", "88", "2.48", "2.48"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "ЛОПЕДИУМ капс 2мг /10бр", "8295", "89", "3.89", "3.89"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "НИЗОРАЛ шампоан 2% /100мл", "56617", "90", "14.67", "14.67"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "АЛЕРОЗАН крем 1% /18гр", "1853", "91", "4.66", "4.66"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "ЕТИЛОВ СПИРТ 70% /100мл ХИМАКС", "32258", "92", "0.65", "0.65"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "ТЕТАТОКС инж сусп 0.5мл /10бр", "54529", "93", "8.58", "8.58"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "КЕТОНАЛ капс 50мг /20бр", "708", "94", "6.56", "6.56"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "РЕПАРИЛ гел /40гр", "2755", "95", "6.22", "6.22"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "ОМАЛГИН табл 500мг /20бр", "59436", "96", "1.02", "1.02"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "МУКОНАЗАЛ ПЛЮС шпрей /10мл", "25166", "97", "7.13", "7.13"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "АНГАЛ ЛИМОН табл за смучене /24бр", "57807", "98", "7.23", "7.23"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "АЦЦ МЕД И ЛИМОН саше 600мг /10бр", "23210", "99", "6.95", "6.95"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "АЛЕРГОЗАН табл 25мг /20бр", "1852", "100", "3.89", "3.89"
"44327", "аптека Огафарм  - гр. Луковит ул. Възраждане №67", "ОТИПАКС сол /16гр", "2626", "101", "4.17", "4.17"